1AP_nano,1AS_nano,1BP_nano,1BS_nano,1CP_nano,1CS_nano,2AP_nano,2AS_nano,2BP_nano,2BS_nano,2CP_nano,2CS_nano,3AP_nano,3AS_nano,3BP_nano,3BS_nano,3CP_nano,3CS_nano,4AP_nano,4AS_nano,4BP_nano,4BS_nano,4CP_nano,4CS_nano,5AP_nano,5AS_nano,5BP_nano,5BS_nano,5CP_nano,5CS_nano,6AP_nano,6AS_nano,6BP_nano,6BS_nano,6CP_nano,6CS_nano,7AP_nano,7AS_nano,7BP_nano,7BS_nano,7CP_nano,7CS_nano,8AP_nano,8AS_nano,8BP_nano,8BS_nano,8CP_nano,8CS_nano,9AP_nano,9AS_nano,9BP_nano,9BS_nano,9CP_nano,9CS_nano
24,55,33,89,18,26,0,100,3,41,4,39,0,229,0,33,0,110,9,311,14,184,37,6,0,186,1,34,0,192,0,29,1,115,0,6,6,1,0,65,8,41,0,38,1,114,0,134,0,46,0,30,0,111
24,161,27,179,21,54,1,149,3,139,8,44,0,429,0,90,0,329,19,564,23,372,53,78,1,296,4,78,2,333,0,47,0,190,1,14,32,1,17,104,22,101,2,45,2,210,0,247,0,69,0,72,2,188
2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2,11,9,18,1,3,10,12,10,6,2,1,8,4,12,5,26,5,2,5,5,5,18,7,22,3,1,0,6,0,5,2,17,0,9,27,0,1,7,4,10,0,1,7,5,1,22,3,36,3,14,3,16
1,0,0,2,6,0,1,5,1,0,0,0,0,2,0,0,0,1,0,0,1,0,2,2,2,6,0,0,0,0,0,0,0,2,0,1,6,0,0,2,1,2,0,0,2,2,1,13,0,14,0,2,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,5,6,15,9,1,15,12,19,7,18,0,13,2,8,3,43,2,20,5,16,4,32,7,34,1,6,0,13,0,11,0,54,1,10,11,0,0,8,1,7,0,4,4,15,1,31,1,41,3,21,0,25
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,13,0,8,0,2,0,0,0,2,0,13,0,1,0,0,0,8,0,0,0,4,0,2,0,14,0,13,0,0,0,0,0,0,0,0,0,3,0,9,0,5,0,2,0,4
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,2,0,2,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0,6,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,1,0,0,0,4,0,3,9,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,0,0,4,1,0,0,0,0,1,0,0,0,4,0,2,0,4,0,5,4,8,3
